User,Location,Num_Repos,Num_Stars,Num_Followers,Num_Following
Emeegeemee,Unknown,6,1,30,0
emma-borhanian," Mountain View, CA ",11,1,22,1
emspishak," San Francisco, CA ",8,0,10,0
enisoc," Santa Clara, CA ",24,30,95,0
enjalot," San Francisco, CA ",122,182,515,45
enocom," Boulder, Colorado ",49,80,238,6
eoogbe,Unknown,25,0,15,0
epere4,Unknown,3,0,4,0
epmjohnston,Unknown,1,0,17,1
ergelo,Unknown,7,164,31,8
EricBeach," Mountain View, CA ",7,0,34,0
ericclone," Mountain View, CA ",13,2,3,0
ericduran," New York, NY ",139,242,159,64
erichrison,Unknown,2,7,18,1
ericlaw1979," Austin, TX ",35,96,59,2
ericlindley-g,Unknown,4,1,23,0
ericveach, Seattle ,0,1,9,0
ericwilligers,Unknown,9,0,55,0
erikhaugen," Sunnyvale, CA ",8,0,16,0
erikmcc,Unknown,4,2,6,0
erjohnso," Seattle, WA USA ",41,39,184,30
erwinmombay,Unknown,45,663,180,27
eshienbrood," Cambridge, MA ",2,0,6,0
estark37,Unknown,28,5,287,5
etanshaul, NYC ,5,2,16,0
ethanbao,Unknown,11,11,30,0
EtiennePerot, 4096R/5CFC3B88974EE250 ,46,135,74,57
Eumenides2009,Unknown,12,5,10,0
evandbrown," Seattle, WA ",90,64,253,44
evmar, San Francisco ,70,49,342,10
ewiseblatt,Unknown,21,1,47,0
eyqs," Vancouver, Canada ",36,102,14,0
eytanbiala," New York, NY ",32,698,32,1
ezimanyi," New York, NY ",14,1,9,1
fabalbon,Unknown,3,8,22,1
fabienviger,Unknown,0,0,30,0
farcaller,Unknown,135,234,157,13
farruggia," Zürich, Switzerland ",16,33,10,0
fejesjoco,Unknown,2,0,12,0
fejta,Unknown,10,2,42,5
fhinkel, New York ,79,67,531,20
fhoffa," San Francisco, CA ",27,131,108,5
filbranden, United States ,16,0,23,2
filipegoncalves," Sunnyvale, CA ",16,6,52,1
filiph," Mountain View, CA ",98,79,173,5
filmil,Unknown,20,18,10,4
FiloSottile, NYC ,64,782,1.5k,17
fimad, Berkeley ,31,38,45,10
